From Date,PM2.5,PM10,NO2,SO2
01/01/2018 00:00,53.23,134.08,54.06,4.04
02/01/2018 00:00,76.06,148.15,56.09,5.3
03/01/2018 00:00,87.53,167.63,54.46,8.19
04/01/2018 00:00,88.14,169.4,63.57,13.66
05/01/2018 00:00,66.8,146.15,68.41,12.55
06/01/2018 00:00,67.71,152.81,78.09,8.34
07/01/2018 00:00,71.02,147.28,59.1,8
08/01/2018 00:00,71.95,144.65,64.37,6.49
09/01/2018 00:00,77.21,156.65,62.67,6.43
10/01/2018 00:00,70.19,161.1,58.09,9.66
11/01/2018 00:00,78.25,173.7,75.31,11.08
12/01/2018 00:00,72.46,160.23,86.59,16.81
13/01/2018 00:00,64.08,148.06,71.16,25
14/01/2018 00:00,73.58,123.91,56.1,11.52
15/01/2018 00:00,78.95,106.4,36.85,4.68
16/01/2018 00:00,62.49,119.78,44.88,5.74
17/01/2018 00:00,57.62,121.17,54.01,6.84
18/01/2018 00:00,59.03,132.54,63.29,5.86
19/01/2018 00:00,54.96,136.46,67.24,13.34
20/01/2018 00:00,57.09,135.74,75.56,21.03
21/01/2018 00:00,63.35,132.42,66.76,9.28
22/01/2018 00:00,66.73,127.68,55.81,5.53
23/01/2018 00:00,54.55,114.73,52.63,3.93
24/01/2018 00:00,59.69,123.62,45.07,5.78
25/01/2018 00:00,67.62,157.31,65.91,15.79
26/01/2018 00:00,64.7,148.08,68.13,19.47
27/01/2018 00:00,65.99,147.85,65.81,10.16
28/01/2018 00:00,63.6,136.4,50.93,4.44
29/01/2018 00:00,61.61,180.89,50.51,5.67
30/01/2018 00:00,52.36,164.94,60.79,15.69
31/01/2018 00:00,47.14,133.63,86.45,16.16
01/02/2018 00:00,43,121.59,85.46,10.96
02/02/2018 00:00,42.04,116.27,90.63,9.71
03/02/2018 00:00,35.1,101.5,49.91,7.83
04/02/2018 00:00,31.41,90.88,35.88,7.13
05/02/2018 00:00,33.57,101.19,45.36,4.31
06/02/2018 00:00,40.59,100.7,68.7,4.67
07/02/2018 00:00,50.45,131.12,91.96,8.44
08/02/2018 00:00,39.32,107.81,74.22,3.91
09/02/2018 00:00,45.74,101.42,54.89,7.62
10/02/2018 00:00,54.09,113.19,63.37,6.44
11/02/2018 00:00,70.91,88.07,36,1.51
12/02/2018 00:00,60.29,81.46,24.46,1.25
13/02/2018 00:00,43.18,84.04,34.63,0.87
14/02/2018 00:00,45.36,94.18,52.92,3.06
15/02/2018 00:00,49.45,116.46,55.24,10.58
16/02/2018 00:00,42.06,101.71,57.8,16.99
17/02/2018 00:00,42.6,119,68.79,19.02
18/02/2018 00:00,52.03,128.99,76.49,6.34
19/02/2018 00:00,41.21,103.3,43.68,4.72
20/02/2018 00:00,41.33,99.86,46.74,3.86
21/02/2018 00:00,48.9,112.28,51.62,4.94
22/02/2018 00:00,51.14,128.55,59.85,7.22
23/02/2018 00:00,45.82,124.08,57.99,5.22
24/02/2018 00:00,35.95,103.64,53.1,2.6
25/02/2018 00:00,31.69,94.99,68.56,3.79
26/02/2018 00:00,41.06,110.76,81.41,5.31
27/02/2018 00:00,40.55,108.16,84.74,8.07
28/02/2018 00:00,52.64,123.74,78.45,7.29
01/03/2018 00:00,44.91,116.01,71.66,6.69
02/03/2018 00:00,40.6,97.58,47.17,6.68
03/03/2018 00:00,41.99,98.48,47.5,6.59
04/03/2018 00:00,43.67,102.62,47.28,7.03
05/03/2018 00:00,38.07,103.91,44.71,7.42
06/03/2018 00:00,39.72,97.51,37.85,8.72
07/03/2018 00:00,36.04,94.17,40.98,5.57
08/03/2018 00:00,39.73,97.24,46.28,6.5
09/03/2018 00:00,47.5,123.31,65.62,2.83
10/03/2018 00:00,57.46,126.22,46.26,6.18
11/03/2018 00:00,44.02,99.07,34.44,4.52
12/03/2018 00:00,32.08,123.69,50.61,2.4
13/03/2018 00:00,31.83,84.83,49.81,3.72
14/03/2018 00:00,37.58,95.89,49.69,4.12
15/03/2018 00:00,43.25,104.67,49.27,6.72
16/03/2018 00:00,52.32,137.66,45.35,14.87
17/03/2018 00:00,43.88,78,38.57,1.93
18/03/2018 00:00,32.96,66.94,42.51,1.39
19/03/2018 00:00,35.92,82.93,55.19,2.39
20/03/2018 00:00,45.67,96.06,62.15,1.89
21/03/2018 00:00,50.11,113.29,58.29,9.27
22/03/2018 00:00,58.45,151.58,72.07,16.2
23/03/2018 00:00,49.29,152.04,82.39,16.13
24/03/2018 00:00,54.96,155.09,84.6,15.7
25/03/2018 00:00,64.41,146.39,54.98,8.36
26/03/2018 00:00,51.35,123.4,43.1,4.33
27/03/2018 00:00,48.43,116.96,43.28,7.16
28/03/2018 00:00,41.85,109.16,44.78,11.35
29/03/2018 00:00,47.55,124.55,49.88,7.16
30/03/2018 00:00,43.6,109.33,40.11,4.68
31/03/2018 00:00,41.97,110.07,40.06,6.08
01/04/2018 00:00,34.35,84.32,30.03,2.6
02/04/2018 00:00,32.02,79.77,51.57,1.09
03/04/2018 00:00,43,100.19,44.61,2.75
04/04/2018 00:00,38.43,98.94,47.6,4.06
