From Date,PM2.5,PM10,NO2,SO2
01/01/2018 00:00,63.11,125.71,None,4.34
02/01/2018 00:00,75.65,153.52,69.28,7.67
03/01/2018 00:00,79.96,162.77,54.43,6.66
04/01/2018 00:00,79.13,172.97,60.33,13.12
05/01/2018 00:00,80.29,171.66,59.58,7.62
06/01/2018 00:00,76.78,167.83,57.68,5.8
07/01/2018 00:00,77.28,167.6,58.98,6.67
08/01/2018 00:00,77.57,166.02,58.15,6.58
09/01/2018 00:00,79.86,173.78,59.65,7.08
10/01/2018 00:00,79.53,173.9,60.6,8.95
11/01/2018 00:00,77.47,172.86,60.66,7.17
12/01/2018 00:00,78.76,178.08,62.96,11.56
13/01/2018 00:00,78.48,176.5,68.1,14.15
14/01/2018 00:00,79.54,174.28,62.93,7.91
15/01/2018 00:00,74.4,141.8,52.31,4
16/01/2018 00:00,76.23,156.45,52.74,8.95
17/01/2018 00:00,72.84,149.16,47.88,5.53
18/01/2018 00:00,70.98,150.23,51.93,7.46
19/01/2018 00:00,68.96,157.05,55.49,6.81
20/01/2018 00:00,71.67,157.04,57.25,5.07
21/01/2018 00:00,75.95,156.86,57.27,3.7
22/01/2018 00:00,74.15,148.52,54.31,2.02
23/01/2018 00:00,65.14,136.6,52.63,1.16
24/01/2018 00:00,74.14,145.32,49.59,3.38
25/01/2018 00:00,74.59,165.46,56.46,5.36
26/01/2018 00:00,75.08,169.96,60.68,7.51
27/01/2018 00:00,73.53,164.28,61.28,5.56
28/01/2018 00:00,70.98,144.23,59.51,3.7
29/01/2018 00:00,73.08,144.68,56.83,3.61
30/01/2018 00:00,68.07,164.1,56.7,4.98
31/01/2018 00:00,65.2,161.39,64.8,8.19
01/02/2018 00:00,60.49,146.52,69.51,11.41
02/02/2018 00:00,58.68,141.5,73.49,11.68
03/02/2018 00:00,46.43,120.86,71.68,7.48
04/02/2018 00:00,44.18,112.23,71.41,8.39
05/02/2018 00:00,43.25,116.88,69.04,7.55
06/02/2018 00:00,41.03,139.31,68.85,7.86
07/02/2018 00:00,65.32,157.47,80.99,10.24
08/02/2018 00:00,43.73,102.61,60.81,6.33
09/02/2018 00:00,53.35,120.44,63.33,7.94
10/02/2018 00:00,None,None,None,None
11/02/2018 00:00,None,None,None,None
12/02/2018 00:00,None,None,None,None
13/02/2018 00:00,52.29,113.42,57.79,6.7
14/02/2018 00:00,55.6,113.27,61.8,7.26
15/02/2018 00:00,61.61,133.67,68.96,8.34
16/02/2018 00:00,59.59,131.31,71.57,9.22
17/02/2018 00:00,62.66,146.54,81.07,12.93
18/02/2018 00:00,62.91,135.54,76.76,7.92
19/02/2018 00:00,50.38,114.04,63.71,5.84
20/02/2018 00:00,57.77,122.71,66.27,6.09
21/02/2018 00:00,65.01,138.56,64.97,7.53
22/02/2018 00:00,65.8,138.83,63.31,8.4
23/02/2018 00:00,57.03,128.46,61.43,6.67
24/02/2018 00:00,49.01,123.19,62.69,7.26
25/02/2018 00:00,47.64,115.56,66.22,5.53
26/02/2018 00:00,60.77,137.12,68.57,6.69
27/02/2018 00:00,63.7,142.66,73.94,9.69
28/02/2018 00:00,69.89,159.97,76.22,10.58
01/03/2018 00:00,60.28,132.5,72,6.69
02/03/2018 00:00,57.1,123.19,69.96,6.4
03/03/2018 00:00,52.13,111.34,56.45,5.81
04/03/2018 00:00,60.91,129.16,67.66,6.9
05/03/2018 00:00,52.2,124.05,65.67,6.64
06/03/2018 00:00,49.68,108.96,63.05,5.97
07/03/2018 00:00,49.58,115.82,69.48,5.41
08/03/2018 00:00,57.61,126.83,69.13,8.03
09/03/2018 00:00,56.24,128.58,64.49,6.07
10/03/2018 00:00,70.14,145.89,66.68,7.2
11/03/2018 00:00,54.32,121.54,62.46,6.6
12/03/2018 00:00,41.69,101.73,61.09,5.49
13/03/2018 00:00,41.2,100.38,61.68,5.25
14/03/2018 00:00,48.18,106.68,59.86,4.78
15/03/2018 00:00,47.42,104.07,49.95,7.13
16/03/2018 00:00,59.74,123.45,54.02,9.67
17/03/2018 00:00,53.38,82.26,54.83,5.09
18/03/2018 00:00,44.49,85.64,54.72,4.05
19/03/2018 00:00,54.29,110.73,60.93,6.6
20/03/2018 00:00,55.32,108.04,53.93,6.01
21/03/2018 00:00,53.93,114.59,49.75,6.91
22/03/2018 00:00,54.71,125.61,52.72,7.83
23/03/2018 00:00,60.7,154.54,62.39,12.17
24/03/2018 00:00,65.2,156.46,71.42,12.93
25/03/2018 00:00,72.07,149.34,58.27,8.56
26/03/2018 00:00,60.39,125.6,53.73,6.17
27/03/2018 00:00,64.35,130.66,58.25,8.46
28/03/2018 00:00,53.49,110.3,46.59,7.68
29/03/2018 00:00,60.01,127.26,53.51,7.04
